高级Django开发工程师,北京,django,本科,1-3年,"[""\u540e\u7aef"", ""\u673a\u5668\u5b66\u4e60/\u7b97\u6cd5\u5de5\u7a0b"", ""\u8fd0\u7ef4\u5f00\u53d1"", ""Python"", """", """"]","[15000, 30000]",0薪,"[""\u5b9a\u671f\u4f53\u68c0"", ""\u9910\u8865"", ""\u901a\u8baf\u8865\u8d34"", ""\u514d\u8d39\u73ed\u8f66"", ""\u5e74\u7ec8\u5956"", ""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u4f4f\u623f\u8865\u8d34"", ""\u5e26\u85aa\u5e74\u5047"", ""\u5a31\u4e50\u5065\u8eab"", ""\u4e94\u9669\u4e00\u91d1"", ""\u52a0\u73ed\u8865\u52a9"", ""\u4ea4\u901a\u8865\u52a9"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u8282\u65e5\u798f\u5229"", ""\u5458\u5de5\u65c5\u6e38""]",产品总监,刘先生产品总监,0,百度,"https://img.bosszhipin.com/beijin/mcs/banner/00c9c1238ae2c986f3e7741be97a9669cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/b82dab1c378ace381HR_39S_ElNZ.html?lid=62BcsDlWLkg.search.11&securityId=6xpWdkNAet8K8-S1Aba-7yaxp9hAPwOAcJwG7Nb0lRdrMJ-dkV56EkNFKyGQqAp8n2pqdM0JaQ__vLCBEImKh7fh3KpGh6ySYxEx7Wzigv26eLDWSj0~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,海淀区
全栈工程师 (3名) Python/Django/Docker,深圳,django,本科,3-5年,"[""Python"", ""Django"", ""\u5168\u6808\u5f00\u53d1\u7ecf\u9a8c""]","[8000, 12000]",13薪,"[""\u5e74\u7ec8\u5956"", ""\u4e94\u9669\u4e00\u91d1""]",招聘者,林女士招聘者,0,深圳市深友成数据科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20231130/7bf6f160950405e948386e718d11a708201a5248a788bab8ffa385616fc8ea8df69451f0ccbb2486.png.webp?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[0, 20]",https://www.zhipin.com/job_detail/ba28026a07b6c66e1HV72dq9FFZQ.html?lid=62BcsDlWLkg.search.12&securityId=qPci1ycCrG_Tv-g19iKi_79ncrj5ijcfh9gEgjfy876xPxWgbiDiX4_ZRibOgTmJzKsmCkKV8f8v35bLTq-oKaga_mcsWG0VPNSxZppX4t2yGzTjqulM&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,罗湖区
Python & Django开发,郑州,django,本科,1-3年,"[""Python"", ""Django"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""\u6570\u5b66/\u7edf\u8ba1\u76f8\u5173\u4e13\u4e1a"", """"]","[8000, 12000]",0薪,"[""\u4e94\u9669\u4e00\u91d1""]",hr,刘女士hr,0,郑州聚凡科技有限公司,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/331d1a9b8814aa5c1XN62dq1FlZS.html?lid=62BcsDlWLkg.search.13&securityId=pQpzbWIvehhaD-511f1eqc4u9JA9wX5T_GpdLyVv95RLAP3I6utP8MchmP1Gt8kkWiBmQUovEC7M0q-A2igi87nccJk1zS1zRr-3l-lOmmo0CRA-aSOg&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,中原区
django开发工程师,丹东,django,本科,1年以内,"[""Python"", ""Django"", ""MySQL""]","[4000, 6000]",0薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u5e74\u7ec8\u5956"", ""\u5e26\u85aa\u5e74\u5047""]",总经理,张先生总经理,0,颖异星软,"https://img.bosszhipin.com/beijin/upload/com/logo/20210511/133a529a0afd6e5d401739a577e547ac42be7bfb71066d4801b63c8fc00453f5.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/90957f8e5071bf6e1X192d69GFdS.html?lid=62BcsDlWLkg.search.14&securityId=x5Z5v0RN86BhB-M1FeeOec4EafdY0SfiDRvr_wj9DAiKIbVV77pjZ5UWXKxYJ1BRA4b6wmwt4EuivPJo1cK9T01mM9Te9P8P9U4_2Ps-wXmnTmEruWnR&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,凤城市
django开发工程师,北京,django,本科,3-5年,"[""\u540e\u7aef"", ""Python"", ""Django""]","[8000, 13000]",18薪,无,招聘者,李先生招聘者,0,京西物联,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",消费电子,未融资,"[0, 20]",https://www.zhipin.com/job_detail/4612d714411e94721X182tu0EVFW.html?lid=62BcsDlWLkg.search.15&securityId=IeMEKmbw1G2Lg-L18Uj62cjWSgK3y2Gt_zd8Fp0nxeErYljtEfdbOZFLHFwehwRep4A2hoC5R6-_4Z2a0dRJLZJ8G6ZAdQ_zQfX0w4gVpK5kGce-6Q~~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,海淀区
Django工程师,上海,django,本科,3-5年,"[""\u540e\u7aef"", ""\u8ba1\u7b97\u673a\u76f8\u5173\u4e13\u4e1a"", ""Python""]","[20000, 30000]",0薪,"[""\u80a1\u7968\u671f\u6743"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u7ee9\u6548\u5956\u91d1"", ""\u5e74\u7ec8\u5956"", ""\u4e94\u9669\u4e00\u91d1""]",招聘者,刘先生招聘者,0,维汤科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/52c97299d1b3f7c61XN-0ti4GFRS.html?lid=62BcsDlWLkg.search.16&securityId=492aDYL7CYvRl-c1CHZzxwTcUfjgH78LeLoRIEA9ZLaqaVp4hk-cd48jreVpGy3QwAW_1-7xaqhfj2xPwd1KlfBlre862A7BZrTUHJH6LXKLBuzVSDxm&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,青浦区
Django工程师,天津,django,本科,1年以内,"[""\u540e\u7aef"", ""Python"", ""Django""]","[5000, 8000]",0薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u5458\u5de5\u65c5\u6e38"", ""\u7ee9\u6548\u5956\u91d1"", ""\u4fdd\u5e95\u5de5\u8d44"", ""\u5e74\u7ec8\u5956"", ""\u5e26\u85aa\u5e74\u5047"", ""\u9910\u8865"", ""\u5b9a\u671f\u4f53\u68c0""]",人力资源主管,林先生人力资源主管,0,允思拓,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",学术/科研,未融资,"[20, 99]",https://www.zhipin.com/job_detail/14f28ad24689ff281X1429-5E1ZU.html?lid=62BcsDlWLkg.search.17&securityId=EngyliGEQWkfv-U1mG5JX4HJ7Jv8uhIodNgEX8OJIuiyv7hgZKNXKPNgVve9wiu7CZa3471RZiEE_nQ91Fua3BUVeNjc_UFZzgpRmp0gw2DaZ31uPQQC&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,滨海新区
Python/Django工程师,南宁,django,学历不限,1-3年,"[""Python"", ""Web\u524d\u7aef"", ""MySQL""]","[6000, 8000]",0薪,无,合伙人,何女士合伙人,0,库瑞德,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170115/e85ba653b997935fdd1aacc838fa8b73bff184785bfad73408e19d0d53272a97.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,A轮,"[20, 99]",https://www.zhipin.com/job_detail/74e897c2154c25530XN_3tu0ElY~.html?lid=62BcsDlWLkg.search.18&securityId=C11cjlm9Wb6ZL-F1mY65Yx_X3s54sST02crL5_vAhMTAxCDZaasZKouXwR0D8xeNI26EA3nHCQq-HS0fgJxk1O6zf_gGql1sdmxBi62c02eMLw~~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,青秀区
高级Django工程师,北京,django,本科,经验不限,"[""Python"", ""\u540e\u7aef\u5f00\u53d1"", ""\u5168\u6808""]","[20000, 40000]",0薪,"[""\u8865\u5145\u533b\u7597\u4fdd\u9669"", ""\u96f6\u98df\u4e0b\u5348\u8336"", ""\u8282\u65e5\u798f\u5229"", ""\u9910\u8865"", ""\u5b9a\u671f\u4f53\u68c0"", ""\u5e26\u85aa\u5e74\u5047"", ""\u4f4f\u623f\u8865\u8d34"", ""\u5e74\u7ec8\u5956"", ""\u5a31\u4e50\u5065\u8eab"", ""\u4ea4\u901a\u8865\u52a9"", ""\u4e94\u9669\u4e00\u91d1"", ""\u52a0\u73ed\u8865\u52a9"", ""\u901a\u8baf\u8865\u8d34"", ""\u5458\u5de5\u65c5\u6e38"", ""\u514d\u8d39\u73ed\u8f66""]",主任架构师,姚先生主任架构师,0,百度,"https://img.bosszhipin.com/beijin/mcs/banner/00c9c1238ae2c986f3e7741be97a9669cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/5ab6fd88a2ad689b1nF409u4GVU~.html?lid=62BcsDlWLkg.search.19&securityId=g6Kn0Wr9EiNkH-g1BZ7I2zPOhTSu4pHkm9RdJFiqNapHxEjKquX5c3AtJdzum7iG1-RrDPMcPDQjLcUDEcmyV71DX2vbbbxLJTC1RqMuIQ~~&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,海淀区
Python后端开发（Django）,成都,django,本科,1-3年,"[""\u6570\u636e\u5f00\u53d1"", ""\u670d\u52a1\u7aef\u5f00\u53d1\u7ecf\u9a8c"", ""\u673a\u5668\u5b66\u4e60/\u7b97\u6cd5\u5de5\u7a0b"", ""Django"", """", """", """", """", """"]","[6000, 10000]",0薪,"[""\u4e94\u9669\u4e00\u91d1"", ""\u5e74\u7ec8\u5956"", ""\u5e26\u85aa\u5e74\u5047""]",CEO,张先生CEO,0,MAKE1,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20181105/11a2b14d82d1ea7106146400c7b31097cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",智能硬件,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/3b995bc0a95cc4d61XV92NW1GVNX.html?lid=62BcsDlWLkg.search.20&securityId=jYtKwYQFOeX4e-L1PuVNHgXKsERp1C9kOyjFREW0S7yADyRgJ4LHPXw-I2LV5nIiJpCCP1vmej9qQDIU-K3PkaEuxAxuCRwJeA71CUvZqnRY&sessionId=,https://www.zhipin.com/gongsi/2e0aa0cdaf3892461XN-2N25.html,青羊区
